threshold,scale_pos_weight,num_leaves,max_depth,subsample,colsample_bytree,min_child_samples,min_child_weight,reg_alpha,reg_lambda,AUC,F1_score,Recall,Precision,Avg_Best_Iteration
0.2,1.8,8,9,0.15,0.34,120,0.002,0.004,1.5,0.8566548337104838,0.433445468146105,0.928138481177631,0.28274752728277497,563.8
0.15,1.4,9,13,0.35,0.38,135,0.001,0.003,2.5,0.8563448200120494,0.4264506505269723,0.9400559154143757,0.2757868973540917,432.8
0.3,1.4,6,21,0.35,0.36,135,0.002,0.001,1.0,0.8566168710073727,0.4584173072308501,0.7449524739349576,0.33109243148199646,619.4
0.35,1.6,5,17,0.15,0.34,135,0.003,0.003,1.0,0.8565643528830016,0.456132703221736,0.7081292273013288,0.33643838243453705,670.4
0.3,1.0,5,21,0.35,0.34,45,0.003,0.0,2.5,0.8565795636900188,0.4307552089384563,0.5400011662838047,0.35830997041979307,729.2
0.3,1.0,9,9,0.3,0.32,45,0.003,0.002,1.5,0.8565081696276051,0.43166081349935653,0.5390017527361197,0.36001223157928713,403.8
0.35,1.6,9,7,0.25,0.38,120,0.002,0.003,2.5,0.856245459863381,0.4558381654163185,0.7079153237214231,0.33615874527526,429.2
0.15,1.8,4,11,0.25,0.32,45,0.003,0.0,0.5,0.8563373043034102,0.4148578205735755,0.9641761159846325,0.2642878483082392,881.8
0.3,1.2,9,13,0.15,0.3,105,0.0005,0.002,1.5,0.8566525781557287,0.4529585126962129,0.6741609059122186,0.34108807857388734,427.8
0.25,1.6,5,11,0.35,0.36,165,0.001,0.001,1.0,0.8566208174449853,0.45366786034380924,0.8566343850513993,0.3085412616873548,735.8
0.15,1.8,7,11,0.3,0.38,60,0.001,0.003,1.5,0.8562385541082952,0.4164975202258903,0.9607507557289872,0.2658832258579964,601.8
0.3,1.4,9,5,0.3,0.34,150,0.001,0.0,2.0,0.8566378587849843,0.4581448855014452,0.7419548444449877,0.33139916076058906,465.6
0.25,1.8,6,17,0.25,0.36,90,0.001,0.003,2.0,0.8566973586473925,0.4477368922032878,0.8818963469088258,0.3000425944150451,650.0
0.15,1.2,7,15,0.35,0.34,90,0.0005,0.003,1.5,0.8566037183968829,0.4345600183835966,0.9217873783136911,0.2842999825626809,509.2
0.15,1.8,9,5,0.35,0.36,90,0.001,0.004,1.5,0.8565021344024022,0.41608408406061353,0.9628915485931637,0.2653805526772848,489.6
0.2,1.2,8,13,0.2,0.3,30,0.002,0.003,0.5,0.8565885009699699,0.45243710708444046,0.8545648933805244,0.30767167776960636,525.6
0.35,1.4,9,9,0.15,0.34,105,0.003,0.001,1.0,0.8565939332783012,0.44647292868978894,0.6259205047717049,0.34703892237343126,407.0
